iter	Logloss
0	0.6577562713
1	0.6265460938
2	0.6022973511
3	0.5840094918
4	0.5685179276
5	0.553571819
6	0.5405584036
7	0.5257109837
8	0.5159232784
9	0.5019268369
10	0.4930190444
11	0.4849625339
12	0.4772295921
13	0.4689517153
14	0.4629596854
15	0.4574502106
16	0.4509912422
17	0.4465215774
18	0.4421040983
19	0.4381162512
20	0.434401826
21	0.4307651371
22	0.4275457603
23	0.4240667998
24	0.4214589025
25	0.4185859555
26	0.4149074487
27	0.4126357436
28	0.4104511882
29	0.4081195758
30	0.4055831681
31	0.4041475623
32	0.401906917
33	0.3996952493
34	0.3982868859
35	0.3957411516
36	0.3940895585
37	0.3918615801
38	0.390089218
39	0.3883673933
40	0.3866568906
41	0.3852050608
42	0.3840805737
43	0.3827087793
44	0.3815848128
45	0.380598056
46	0.3787283501
47	0.3777890941
48	0.375901429
49	0.3743165971
50	0.3731610068
51	0.3718602683
52	0.370581957
53	0.369602488
54	0.3684899738
55	0.3669424918
56	0.3658784759
57	0.3644734527
58	0.3632947628
59	0.3621840487
60	0.3616118062
61	0.3609027442
62	0.3588858728
63	0.3568450559
64	0.3555157302
65	0.3541376891
66	0.3532002116
67	0.3515158886
68	0.3507997991
69	0.3495498798
70	0.3485945517
71	0.3478809349
72	0.3468846563
73	0.3457974974
74	0.3440771693
75	0.3428144746
76	0.3419026779
77	0.3408113329
78	0.3400451617
79	0.3385165499
80	0.337371978
81	0.3366572984
82	0.3355856477
83	0.3344379092
84	0.3334653376
85	0.3318881189
86	0.3309661063
87	0.3301450164
88	0.3290044138
89	0.3281418313
90	0.326664646
91	0.3254973433
92	0.3234101969
93	0.3220506355
94	0.3210123004
95	0.3201885427
96	0.3189986174
97	0.3184224056
98	0.3177914053
99	0.3165371698
