iter	Passed	Remaining
0	5	580
1	11	539
2	16	521
3	21	506
4	26	497
5	30	485
6	35	470
7	39	455
8	43	444
9	48	434
10	52	428
11	57	419
12	61	412
13	65	404
14	70	398
15	74	391
16	79	385
17	83	378
18	87	372
19	91	366
20	96	362
21	100	357
22	105	351
23	109	347
24	113	341
25	118	336
26	122	331
27	127	327
28	131	322
29	136	317
30	140	313
31	145	309
32	149	304
33	154	299
34	159	295
35	163	290
36	167	285
37	172	280
38	176	276
39	180	271
40	185	266
41	189	261
42	193	256
43	198	252
44	202	247
45	206	242
46	211	238
47	215	233
48	219	228
49	224	224
50	228	219
51	232	214
52	236	210
53	241	205
54	245	200
55	249	196
56	254	191
57	258	187
58	262	182
59	267	178
60	271	173
61	275	169
62	280	164
63	285	160
64	289	155
65	294	151
66	298	147
67	302	142
68	307	137
69	311	133
70	315	128
71	319	124
72	324	119
73	328	115
74	332	110
75	336	106
76	341	101
77	345	97
78	349	92
79	353	88
80	358	84
81	362	79
82	366	75
83	371	70
84	375	66
85	379	61
86	383	57
87	388	52
88	392	48
89	397	44
90	401	39
91	405	35
92	410	30
93	414	26
94	419	22
95	424	17
96	428	13
97	433	8
98	438	4
99	442	0
