order_id,customer_id,order_date,order_total_clean,payment_method,distance_km,category,customer_segment,promised_minutes,delivery_status,delayed,delay_risk_score,delay_risk_level,delivery_recommendation
15642223,85020453,2023-11-06 21:10:23,291.12,Cash,1.44,Grocery & Staples,Premium,14.0,On Time,0,0.6400885159043754,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
2548452255,44776601,2023-09-18 02:09:26,113.4,Wallet,1.7,Grocery & Staples,Regular,15.0,Significantly Delayed,1,0.6399544560580648,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
8045361592,16543242,2024-10-11 11:49:32,976.55,Wallet,4.06,Snacks & Munchies,Premium,15.0,On Time,0,0.6386215947836003,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
6767935470,70372270,2024-04-17 01:23:52,951.27,Cash,4.68,Snacks & Munchies,New,19.0,On Time,0,0.6330652317352415,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
6256637306,3096845,2023-11-07 11:20:32,783.0899999999999,Cash,2.47,Pharmacy,New,17.0,Slightly Delayed,1,0.6312398858083869,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
2002067527,45166203,2023-11-06 23:08:27,594.45,Wallet,3.85,Grocery & Staples,Regular,10.0,On Time,0,0.62780818618066,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
896919031,42366724,2024-10-08 03:01:32,499.26,Wallet,3.17,Snacks & Munchies,Inactive,11.0,On Time,0,0.6276075206679543,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
6573705785,24000329,2023-11-23 12:34:22,836.96,Wallet,4.68,Snacks & Munchies,Premium,15.0,On Time,0,0.6271087238217845,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
6409437174,3399251,2023-12-06 13:00:16,66.42,Wallet,4.46,Household Care,New,14.0,Significantly Delayed,1,0.6269760562134218,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
5008395294,1108176,2023-12-22 09:09:45,113.4,Cash,2.33,Grocery & Staples,Premium,13.0,Significantly Delayed,1,0.6266405076679047,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
3189863462,6756256,2024-06-17 13:27:48,836.96,Cash,2.7,Snacks & Munchies,Premium,17.0,On Time,0,0.6249916248664331,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
6367306297,17201639,2023-09-25 11:13:00,652.5,Cash,3.58,Fruits & Vegetables,New,20.0,On Time,0,0.6242000575081269,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
1328248068,51556553,2024-05-14 00:59:20,976.55,Cash,0.85,Snacks & Munchies,Premium,17.0,Slightly Delayed,1,0.6241360403166653,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
1588828749,11540364,2023-11-17 13:40:42,404.07,UPI,4.49,Grocery & Staples,New,13.0,On Time,0,0.624119571999184,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
9251851237,94453274,2023-11-25 13:43:03,307.32,Cash,3.59,Grocery & Staples,Regular,15.0,On Time,0,0.6237580737137085,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
2902411553,93122847,2023-11-01 02:22:55,831.43,Cash,1.16,Snacks & Munchies,Regular,17.0,On Time,0,0.6233939890402124,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
3046341241,82286725,2023-10-03 17:13:24,951.27,Wallet,1.4,Snacks & Munchies,Premium,17.0,On Time,0,0.6227145748570831,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
4100626744,15484407,2024-10-21 01:03:46,214.8,UPI,4.16,Grocery & Staples,Premium,16.0,On Time,0,0.6225295472627163,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
3532186218,24456825,2023-08-08 13:57:04,893.04,Cash,4.85,Snacks & Munchies,Inactive,18.0,On Time,0,0.6219424161850736,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
3928003125,53636086,2023-12-07 13:30:43,985.53,Wallet,1.46,Pharmacy,Premium,13.0,Slightly Delayed,1,0.6214075798376103,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
5512110908,40192266,2023-11-22 02:06:53,844.28,Cash,1.88,Snacks & Munchies,New,14.0,Significantly Delayed,1,0.6196336291035768,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
4224014067,85218071,2023-05-15 12:01:24,695.82,Cash,3.33,Grocery & Staples,New,20.0,On Time,0,0.6163706860882276,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
5924297360,59197894,2024-09-09 21:59:31,1266.42,Wallet,3.57,Snacks & Munchies,Inactive,13.0,Slightly Delayed,1,0.6151593246962179,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
6615188116,49529811,2023-08-30 13:03:42,949.73,Wallet,3.51,Personal Care,Regular,19.0,On Time,0,0.6139840010883987,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
347093563,31026200,2024-09-23 13:17:00,409.8,Card,3.88,Snacks & Munchies,New,18.0,Significantly Delayed,1,0.6136819584322215,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và khoảng cách giao hàng xa.
9113393578,82359623,2023-12-09 00:01:07,831.43,Cash,2.46,Snacks & Munchies,Premium,14.0,On Time,0,0.6126950377292666,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
2182762247,54347213,2023-09-06 20:37:30,1492.06,Cash,2.61,Snacks & Munchies,Premium,10.0,On Time,0,0.6120339687884744,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
8716008121,38613642,2023-12-21 13:58:26,457.65,Card,1.07,Snacks & Munchies,Regular,16.0,On Time,0,0.6116797783027393,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
8813216380,85177880,2024-10-09 11:57:06,1247.25,Cash,2.93,Grocery & Staples,Regular,20.0,Slightly Delayed,1,0.6116153797016554,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
3305649506,90649019,2023-11-15 00:30:18,652.2,Wallet,2.21,Pharmacy,New,15.0,On Time,0,0.6110422466849796,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
6539196955,58974323,2024-05-27 08:15:29,890.8199999999999,Wallet,2.92,Snacks & Munchies,New,17.0,Significantly Delayed,1,0.6110342541876548,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
4076039325,27604184,2024-08-12 19:26:07,831.43,Wallet,2.5,Snacks & Munchies,New,19.0,Slightly Delayed,1,0.6110316586315546,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
6656246719,19180962,2024-09-09 13:42:16,844.28,Wallet,2.61,Snacks & Munchies,Inactive,11.0,Slightly Delayed,1,0.6106428881063662,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
8697396531,21282544,2023-10-23 18:35:21,457.65,Wallet,1.71,Snacks & Munchies,Regular,19.0,On Time,0,0.6105489273081406,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
5427684290,83298567,2023-11-20 05:00:39,1953.1,Cash,2.63,Snacks & Munchies,Premium,17.0,On Time,0,0.6095492410477504,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
6033014029,29525287,2024-10-21 13:54:53,801.81,Cash,2.16,Pharmacy,Premium,15.0,Slightly Delayed,1,0.6093175675981348,High,Ưu tiên xử lý vì đơn có rủi ro trễ cao và thời gian hứa giao ngắn.
1715175070,33706378,2023-09-27 04:45:33,2238.09,Cash,1.99,Snacks & Munchies,New,18.0,Significantly Delayed,1,0.608789486745116,High,Theo dõi sát vì mô hình dự đoán đơn có rủi ro giao trễ cao.
