product_id,product_name,category,brand,cutoff_month,target_start_month,target_end_month,future_3m_revenue,future_3m_quantity,high_future_performance,predicted_high_performance,probability_high_performance
552496,Dish Soap,Household Care,Dhar PLC,2024-06,2024-07,2024-09,9144.0,18,1,0,0.4787101510362948
891833,Curd,Dairy & Breakfast,Mani PLC,2024-07,2024-08,2024-10,7891.04,16,1,0,0.44256619157367205
552496,Dish Soap,Household Care,Dhar PLC,2024-07,2024-08,2024-10,6096.0,12,1,0,0.45557042827038446
654623,Chips,Snacks & Munchies,Pradhan and Sons,2024-07,2024-08,2024-10,5487.82,13,1,0,0.32329757380682334
925482,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,2024-07,2024-08,2024-10,5225.4400000000005,11,1,0,0.4237705802493122
284460,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",2024-07,2024-08,2024-10,5059.5,10,1,0,0.3232113806855002
891833,Curd,Dairy & Breakfast,Mani PLC,2024-06,2024-07,2024-09,4931.9,10,1,0,0.4506203857616321
894539,Dish Soap,Household Care,"Pall, Sule and Sood",2024-06,2024-07,2024-09,4900.280000000001,11,1,0,0.4086225857153099
925482,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,2024-06,2024-07,2024-09,4750.400000000001,10,1,0,0.4464088430386667
654623,Chips,Snacks & Munchies,Pradhan and Sons,2024-06,2024-07,2024-09,4643.54,11,1,0,0.31713027425873974
812607,Potatoes,Fruits & Vegetables,Rege Group,2024-06,2024-07,2024-09,4583.15,11,1,0,0.2916959332950395
491521,Nuts,Snacks & Munchies,Karpe Inc,2024-07,2024-08,2024-10,4450.8,8,1,0,0.27954717393713896
36412,Dish Soap,Household Care,Muni-Shankar,2024-08,2024-09,2024-11,4374.48,11,1,0,0.3247518233638867
36412,Dish Soap,Household Care,Muni-Shankar,2024-07,2024-08,2024-10,4374.48,11,1,0,0.31737248264505025
925482,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,2024-08,2024-09,2024-11,4275.360000000001,9,1,0,0.4204930100917649
654623,Chips,Snacks & Munchies,Pradhan and Sons,2024-08,2024-09,2024-11,4221.4,10,1,0,0.3248483280202514
812607,Potatoes,Fruits & Vegetables,Rege Group,2024-07,2024-08,2024-10,4166.5,10,1,0,0.2910508138553357
26060,Vitamins,Pharmacy,Shah and Sons,2024-08,2024-09,2024-11,4115.28,12,1,0,0.23862485576447204
284460,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",2024-06,2024-07,2024-09,4047.6,8,1,0,0.29239716183204667
891833,Curd,Dairy & Breakfast,Mani PLC,2024-08,2024-09,2024-11,3945.52,8,1,0,0.4492263964155054
587420,Cookies,Snacks & Munchies,Raj and Sons,2024-07,2024-08,2024-10,3931.6200000000003,11,1,0,0.15287462338464752
567671,Biscuits,Snacks & Munchies,Nagar LLC,2024-08,2024-09,2024-11,3766.32,9,1,0,0.23582227584005522
812607,Potatoes,Fruits & Vegetables,Rege Group,2024-08,2024-09,2024-11,3749.85,9,1,0,0.28245378500297297
552496,Dish Soap,Household Care,Dhar PLC,2024-08,2024-09,2024-11,3556.0,7,1,0,0.4536999338040666
587420,Cookies,Snacks & Munchies,Raj and Sons,2024-08,2024-09,2024-11,3216.78,9,1,0,0.159816288138606
604184,Toilet Cleaner,Household Care,"Gaba, Sodhi and Choudhary",2024-08,2024-09,2024-11,3180.4,8,1,0,0.3223172961307833
52729,Cat Food,Pet Care,Saini LLC,2024-08,2024-09,2024-11,3160.2,10,1,0,0.16299061183732996
667163,Orange Juice,Cold Drinks & Juices,Palla LLC,2024-08,2024-09,2024-11,3088.4,7,1,0,0.3359872464168794
721521,Rice,Grocery & Staples,"Ramanathan, Agarwal and Baria",2024-08,2024-09,2024-11,2921.7299999999996,7,1,0,0.329780013027543
876139,Pulses,Grocery & Staples,Cherian-Dara,2024-08,2024-09,2024-11,2910.25,7,1,0,0.3391494651745701
681063,Mango Drink,Cold Drinks & Juices,Dass and Sons,2024-08,2024-09,2024-11,2891.52,9,1,0,0.16473411918877467
