product_id,product_name,category,brand,cutoff_month,target_start_month,target_end_month,future_3m_revenue,future_3m_quantity,high_future_performance,predicted_high_performance,probability_high_performance
123983,Cough Syrup,Pharmacy,Kurian-Chhabra,2024-08,2024-09,2024-11,2357.0099999999998,3,0,1,0.8694735750267201
367391,Baby Wipes,Baby Care,Talwar and Sons,2024-06,2024-07,2024-09,3758.2,4,0,1,0.8364898164583826
679284,Cough Syrup,Pharmacy,Pant LLC,2024-06,2024-07,2024-09,3511.56,4,0,1,0.8189883651640829
679284,Cough Syrup,Pharmacy,Pant LLC,2024-08,2024-09,2024-11,2633.67,3,0,1,0.8187965548111603
367391,Baby Wipes,Baby Care,Talwar and Sons,2024-08,2024-09,2024-11,1879.1,2,0,1,0.8172293258768726
51036,Baby Food,Baby Care,Karnik PLC,2024-06,2024-07,2024-09,3726.44,4,0,1,0.8135699997434858
365133,Dish Soap,Household Care,Hans Inc,2024-06,2024-07,2024-09,3661.8,4,0,1,0.8034754562493497
82484,Baby Food,Baby Care,Mallick PLC,2024-06,2024-07,2024-09,2744.64,3,0,1,0.8007844532626848
853932,Baby Wipes,Baby Care,Ranganathan-Peri,2024-06,2024-07,2024-09,3764.76,4,0,1,0.8004438837537821
222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,2024-08,2024-09,2024-11,2607.66,3,0,1,0.7984761029579216
222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,2024-07,2024-08,2024-10,3476.88,4,0,1,0.797770702015306
444361,Pain Reliever,Pharmacy,"Prakash, Bawa and Kale",2024-06,2024-07,2024-09,1645.26,2,0,1,0.7960871155342997
871592,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",2024-06,2024-07,2024-09,1740.58,2,0,1,0.7953545637091541
171602,Cola,Cold Drinks & Juices,Pal-Sehgal,2024-07,2024-08,2024-10,2650.32,3,0,1,0.7953443178881202
803607,Soap,Personal Care,"Kadakia, Mohan and Sathe",2024-06,2024-07,2024-09,3798.92,4,0,1,0.7944978938108035
137909,Cough Syrup,Pharmacy,Dalal PLC,2024-08,2024-09,2024-11,864.3,1,0,1,0.7936931996637804
365133,Dish Soap,Household Care,Hans Inc,2024-08,2024-09,2024-11,915.45,1,0,1,0.7925421555684921
137909,Cough Syrup,Pharmacy,Dalal PLC,2024-07,2024-08,2024-10,2592.8999999999996,3,0,1,0.7897450369890389
799459,Vitamins,Pharmacy,"Garg, Kari and Kapur",2024-08,2024-09,2024-11,1704.04,2,0,1,0.786296599658852
365133,Dish Soap,Household Care,Hans Inc,2024-07,2024-08,2024-10,915.45,1,0,1,0.784515237743515
82484,Baby Food,Baby Care,Mallick PLC,2024-07,2024-08,2024-10,2744.64,3,0,1,0.7842467007257964
799459,Vitamins,Pharmacy,"Garg, Kari and Kapur",2024-07,2024-08,2024-10,1704.04,2,0,1,0.7834676526514407
455083,Butter,Dairy & Breakfast,Dutta Inc,2024-07,2024-08,2024-10,3836.04,4,0,1,0.7815823016647319
587645,Vitamins,Pharmacy,"Sura, Pillay and Mammen",2024-08,2024-09,2024-11,801.81,1,0,1,0.7793818008552422
897083,Detergent,Household Care,Dutta-Halder,2024-08,2024-09,2024-11,1945.38,2,0,1,0.7776292007719403
455083,Butter,Dairy & Breakfast,Dutta Inc,2024-06,2024-07,2024-09,3836.04,4,0,1,0.7773725402979738
82484,Baby Food,Baby Care,Mallick PLC,2024-08,2024-09,2024-11,1829.76,2,0,1,0.7749394729815781
41853,Curd,Dairy & Breakfast,Handa PLC,2024-07,2024-08,2024-10,3641.76,4,0,1,0.773478888329451
799952,Cheese,Dairy & Breakfast,Padmanabhan-Virk,2024-08,2024-09,2024-11,1845.28,2,0,1,0.7733040008586252
587645,Vitamins,Pharmacy,"Sura, Pillay and Mammen",2024-07,2024-08,2024-10,2405.43,3,0,1,0.7713509262160706
525531,Dog Food,Pet Care,Sandal PLC,2024-06,2024-07,2024-09,2493.3,3,0,1,0.7712565206251729
525531,Dog Food,Pet Care,Sandal PLC,2024-07,2024-08,2024-10,2493.3,3,0,1,0.771210446946478
378676,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,2024-07,2024-08,2024-10,2644.2599999999998,3,0,1,0.7708722780250566
