product_id,product_name,category,brand,cutoff_month,target_start_month,target_end_month,future_3m_revenue,future_3m_quantity,high_future_performance,predicted_high_performance,probability_high_performance
123983,Cough Syrup,Pharmacy,Kurian-Chhabra,2024-08,2024-09,2024-11,2357.0099999999998,3,0,1,0.8694735750267201
557908,Vitamins,Pharmacy,Sundaram Inc,2024-08,2024-09,2024-11,7538.960000000001,8,1,1,0.8681584548297252
264803,Vitamins,Pharmacy,Gole-Doshi,2024-08,2024-09,2024-11,7967.84,8,1,1,0.8478026477652826
366066,Soap,Personal Care,Mandal LLC,2024-08,2024-09,2024-11,6430.06,7,1,1,0.831459261638627
679284,Cough Syrup,Pharmacy,Pant LLC,2024-08,2024-09,2024-11,2633.67,3,0,1,0.8187965548111603
367391,Baby Wipes,Baby Care,Talwar and Sons,2024-08,2024-09,2024-11,1879.1,2,0,1,0.8172293258768726
673058,Cough Syrup,Pharmacy,Balan-Madan,2024-08,2024-09,2024-11,3828.7999999999997,5,1,1,0.8024208899630978
222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,2024-08,2024-09,2024-11,2607.66,3,0,1,0.7984761029579216
444361,Pain Reliever,Pharmacy,"Prakash, Bawa and Kale",2024-08,2024-09,2024-11,4935.780000000001,6,1,1,0.7979458924487005
51036,Baby Food,Baby Care,Karnik PLC,2024-08,2024-09,2024-11,4658.05,5,1,1,0.7950017888990103
137909,Cough Syrup,Pharmacy,Dalal PLC,2024-08,2024-09,2024-11,864.3,1,0,1,0.7936931996637804
365133,Dish Soap,Household Care,Hans Inc,2024-08,2024-09,2024-11,915.45,1,0,1,0.7925421555684921
853932,Baby Wipes,Baby Care,Ranganathan-Peri,2024-08,2024-09,2024-11,5647.14,6,1,1,0.7899431173714907
799459,Vitamins,Pharmacy,"Garg, Kari and Kapur",2024-08,2024-09,2024-11,1704.04,2,0,1,0.786296599658852
871592,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",2024-08,2024-09,2024-11,5221.74,6,1,1,0.7845771595207668
114414,Vitamins,Pharmacy,Kara-Golla,2024-08,2024-09,2024-11,5824.42,7,1,1,0.7809084144460371
587645,Vitamins,Pharmacy,"Sura, Pillay and Mammen",2024-08,2024-09,2024-11,801.81,1,0,1,0.7793818008552422
897083,Detergent,Household Care,Dutta-Halder,2024-08,2024-09,2024-11,1945.38,2,0,1,0.7776292007719403
171602,Cola,Cold Drinks & Juices,Pal-Sehgal,2024-08,2024-09,2024-11,3533.76,4,1,1,0.7766606319238468
82484,Baby Food,Baby Care,Mallick PLC,2024-08,2024-09,2024-11,1829.76,2,0,1,0.7749394729815781
799952,Cheese,Dairy & Breakfast,Padmanabhan-Virk,2024-08,2024-09,2024-11,1845.28,2,0,1,0.7733040008586252
41853,Curd,Dairy & Breakfast,Handa PLC,2024-08,2024-09,2024-11,3641.76,4,1,1,0.7726579026726811
455083,Butter,Dairy & Breakfast,Dutta Inc,2024-08,2024-09,2024-11,2877.0299999999997,3,1,1,0.7714917315252248
