target,target_display,model,model_group,target_transform,MAE,MSE,RMSE,NMAE,WAPE,R2,Bias_ME,cv_best_mae,train_time_seconds,predict_time_seconds,best_params
daily_orders,Số lượng đơn hàng ngày,Moving Average 28 days,Baseline,None,2.4335403726708074,9.197692990239572,3.0327698544794943,0.30452355044302815,0.3045235504430281,-0.06305923404109581,-0.10869565217391303,,0.0,0.0,{}
daily_orders,Số lượng đơn hàng ngày,Lasso Regression Tuned,Tuned ML,None,2.438435924269812,8.86119719947447,2.9767763099491487,0.3051361602731538,0.3051361602731538,-0.024167420847460708,-0.4572733326990765,2.3556558613609493,2.191098928451538,0.0038688182830810547,{'model__alpha': np.float64(4.52035365636025)}
daily_orders,Số lượng đơn hàng ngày,Extra Trees Regressor Tuned,Tuned ML,None,2.4434970024439897,8.903794402938114,2.9839226536453847,0.3057694834396723,0.3057694834396723,-0.02909075874691114,-0.4964396172047543,2.3858613491650047,36.039414167404175,0.011096000671386719,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 3}"
daily_orders,Số lượng đơn hàng ngày,Random Forest Regressor Tuned,Tuned ML,None,2.4480850968336374,8.994330616962383,2.9990549539750657,0.30634361929909504,0.306343619299095,-0.03955483473159038,-0.6204451056529936,2.4124775263240346,63.91892910003662,0.009636878967285156,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 3}"
daily_orders,Số lượng đơn hàng ngày,HistGradientBoosting Regressor Tuned,Tuned ML,None,2.4505375324954053,9.19204783380736,3.0318390184518966,0.3066505073307635,0.30665050733076343,-0.06240677307297715,-0.6202079496575266,2.391843741859113,35.57973575592041,0.004889726638793945,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_iter': 100, 'model__learning_rate': 0.01, 'model__l2_regularization': 1.0}"
daily_orders,Số lượng đơn hàng ngày,Ridge Regression Tuned,Tuned ML,None,2.464095741762789,9.088573774437654,3.0147261524784725,0.3083471276416983,0.3083471276416983,-0.050447355160962326,-0.6063427596272934,2.387069982207272,0.7807803153991699,0.0,{'model__alpha': np.float64(621.0169418915616)}
daily_orders,Số lượng đơn hàng ngày,Moving Average 14 days,Baseline,None,2.5478260869565226,9.754480922803904,3.123216438674064,0.3188248095756258,0.3188248095756258,-0.1274121705593374,-0.12795031055900613,,0.0,0.0,{}
daily_orders,Số lượng đơn hàng ngày,Moving Average 7 days,Baseline,None,2.6285714285714286,10.717302573203195,3.2737291539165536,0.32892896004974354,0.3289289600497435,-0.2386940373576545,-0.1416149068322981,,0.0,0.0,{}
daily_orders,Số lượng đơn hàng ngày,Gradient Boosting Regressor Tuned,Tuned ML,None,2.8570876879115996,11.888844099644922,3.4480203160139475,0.35752457465705545,0.35752457465705545,-0.3740995177393214,-1.8165387790546859,2.43339076706141,26.332772254943848,0.0015234947204589844,"{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__min_samples_leaf': 3, 'model__max_depth': 2, 'model__learning_rate': 0.01}"
daily_orders,Số lượng đơn hàng ngày,Naive Forecast,Baseline,None,3.5304347826086957,19.791304347826088,4.448741883704435,0.44178454842219805,0.44178454842219805,-1.2874571768160523,-0.06956521739130435,,0.0,0.003932952880859375,{}
daily_orders,Số lượng đơn hàng ngày,Seasonal Naive 7 days,Baseline,None,3.6869565217391305,20.48695652173913,4.526251928664503,0.4613710554951034,0.4613710554951034,-1.3678598895336642,-0.1391304347826087,,0.0,0.0,{}
