target,target_display,order_day,model,actual,predicted,error,absolute_error
daily_revenue,Doanh thu ngày,2024-08-27,Random Forest Regressor,20528.02,7022.571467410424,13505.448532589577,13505.448532589577
daily_revenue,Doanh thu ngày,2024-10-15,Random Forest Regressor,17996.29,7662.480869802308,10333.809130197693,10333.809130197693
daily_revenue,Doanh thu ngày,2024-10-26,Random Forest Regressor,18552.239999999998,9819.407889483058,8732.83211051694,8732.83211051694
daily_revenue,Doanh thu ngày,2024-07-11,Random Forest Regressor,15282.72,6709.765921687584,8572.954078312416,8572.954078312416
daily_revenue,Doanh thu ngày,2024-07-12,Random Forest Regressor,14149.36,6131.542315944447,8017.817684055553,8017.817684055553
daily_revenue,Doanh thu ngày,2024-08-05,Random Forest Regressor,14536.39,7602.018449548669,6934.37155045133,6934.37155045133
daily_revenue,Doanh thu ngày,2024-07-19,Random Forest Regressor,15367.17,8522.52642928901,6844.64357071099,6844.64357071099
daily_revenue,Doanh thu ngày,2024-07-10,Random Forest Regressor,14437.4,7971.299416665736,6466.100583334263,6466.100583334263
daily_revenue,Doanh thu ngày,2024-08-15,Random Forest Regressor,14228.16,7777.704817028888,6450.455182971112,6450.455182971112
daily_revenue,Doanh thu ngày,2024-10-12,Random Forest Regressor,1361.4099999999999,7704.874436350297,-6343.464436350298,6343.464436350298
